property_type,price: ,sleeping_rooms,area
house,115661,2,220m2
house,434654,5,241m2
appartment,367118,2,184m2
appartment,430750,5,159m2
house,74953,5,151m2
appartment,670498,4,239m2
appartment,676876,4,250m2
appartment,536315,3,165m2
appartment,946420,5,241m2
appartment,542186,3,151m2
house,875892,2,243m2
house,563807,5,200m2
house,883352,4,153m2
appartment,9936,5,178m2
house,889775,4,187m2
appartment,689657,2,169m2
appartment,131668,3,199m2
house,507018,3,209m2
appartment,71500,2,188m2
house,456899,4,151m2
house,498824,5,186m2
house,545228,5,202m2
house,780254,4,161m2
appartment,932111,4,218m2
appartment,198380,4,186m2
appartment,348226,4,182m2
house,882508,4,195m2
house,968663,2,237m2
house,80877,4,195m2
house,653618,5,209m2
appartment,376165,5,176m2
appartment,421637,5,226m2
appartment,436870,2,198m2
appartment,203664,5,198m2
appartment,898518,3,169m2
appartment,704150,2,201m2
appartment,60921,2,227m2
appartment,187176,5,212m2
appartment,914723,5,146m2
appartment,337636,3,172m2
appartment,32556,4,163m2
house,848979,4,225m2
appartment,138360,2,215m2
appartment,137783,5,204m2
appartment,811078,3,142m2
house,562139,3,189m2
appartment,436295,4,194m2
appartment,419618,3,131m2
appartment,771085,4,166m2
appartment,572285,2,185m2
appartment,265524,5,210m2
appartment,208361,4,181m2
house,836620,4,168m2
house,724312,3,156m2
house,17018,5,219m2
house,371542,2,212m2
appartment,457082,4,175m2
appartment,590961,3,248m2
house,102966,4,174m2
house,402865,5,250m2
appartment,491059,4,164m2
appartment,433070,4,194m2
appartment,770507,5,158m2
house,3131,3,229m2
house,574032,2,212m2
house,757532,5,184m2
appartment,783175,2,162m2
appartment,588120,2,180m2
house,665187,5,237m2
house,303084,5,205m2
appartment,204551,4,210m2
appartment,19676,3,154m2
appartment,750973,2,160m2
appartment,412735,2,196m2
appartment,324812,5,237m2
house,622407,3,204m2
house,983501,3,149m2
appartment,915893,5,230m2
appartment,475389,5,218m2
appartment,140299,4,247m2
house,907492,2,218m2
appartment,123335,3,207m2
appartment,537568,4,207m2
appartment,806394,2,206m2
house,615929,5,187m2
appartment,432772,2,169m2
appartment,871702,2,209m2
house,680414,2,159m2
appartment,579902,2,212m2
appartment,965440,5,154m2
appartment,963280,4,220m2
appartment,490107,2,212m2
appartment,208782,5,178m2
house,585716,5,244m2
house,683384,2,177m2
house,5701,3,166m2
house,225800,5,168m2
appartment,316121,3,144m2
appartment,979107,5,142m2
appartment,104211,3,164m2
appartment,580556,4,221m2
house,635291,3,207m2
house,6837,5,220m2
house,560268,2,235m2
appartment,478612,5,160m2
appartment,929916,5,168m2
appartment,75083,2,212m2
appartment,348209,4,134m2
appartment,788157,3,184m2
appartment,432140,5,244m2
appartment,452392,2,153m2
house,811306,2,157m2
appartment,347787,4,139m2
appartment,523306,5,169m2
appartment,755487,4,170m2
house,723362,3,191m2
appartment,972032,5,224m2
appartment,374324,2,130m2
house,509923,5,141m2
appartment,797486,5,154m2
house,328808,3,203m2
appartment,786980,3,165m2
appartment,969509,3,223m2
appartment,570185,2,183m2
appartment,78497,5,182m2
appartment,265782,2,239m2
appartment,622219,3,225m2
appartment,133158,5,185m2
appartment,549788,3,178m2
house,817458,5,231m2
appartment,660559,4,211m2
appartment,211368,2,187m2
appartment,818918,3,183m2
appartment,668637,3,172m2
appartment,31586,3,177m2
appartment,822105,4,212m2
appartment,489338,2,166m2
appartment,269086,4,212m2
house,944286,3,237m2
appartment,215713,3,148m2
appartment,324311,5,215m2
appartment,362140,2,159m2
appartment,338105,4,182m2
appartment,491911,2,234m2
appartment,751894,4,161m2
house,289793,5,199m2
house,759001,5,205m2
appartment,420334,4,245m2
appartment,600951,3,186m2
appartment,71338,5,239m2
appartment,313638,5,204m2
appartment,474441,5,220m2
appartment,669658,2,189m2
appartment,16852,2,152m2
appartment,9229,4,192m2
appartment,326673,5,152m2
appartment,631474,2,147m2
appartment,194729,3,244m2
house,465147,3,148m2
appartment,1744,5,183m2
house,735709,2,170m2
appartment,771642,2,190m2
house,765397,2,193m2
appartment,405262,2,169m2
house,963000,4,193m2
house,50023,3,188m2
appartment,519577,5,244m2
appartment,249693,4,213m2
appartment,167578,3,169m2
house,95052,4,239m2
appartment,967528,4,190m2
appartment,615719,4,184m2
appartment,283778,5,163m2
house,941632,2,158m2
appartment,872583,5,189m2
appartment,68950,5,225m2
house,818362,3,182m2
house,949738,5,227m2
house,900600,2,154m2
house,231418,3,245m2
house,395230,4,219m2
house,877815,2,147m2
appartment,275274,5,176m2
house,725514,3,161m2
house,154164,4,157m2
appartment,98675,5,142m2
house,695932,2,248m2
appartment,13350,5,133m2
house,807116,2,131m2
house,126725,2,144m2
appartment,754362,3,231m2
house,711902,5,220m2
house,665414,2,143m2
house,48371,2,238m2
house,265465,4,202m2
appartment,491012,4,155m2
appartment,258152,2,171m2
appartment,776275,5,198m2
appartment,660248,5,150m2
appartment,54877,2,193m2
appartment,248145,3,198m2
house,31116,5,146m2
appartment,292072,5,164m2
appartment,42716,5,132m2
appartment,490128,5,227m2
appartment,7117,4,158m2
appartment,735063,4,200m2
appartment,753397,2,209m2
appartment,309990,4,209m2
appartment,868731,3,244m2
appartment,485879,3,218m2
appartment,203072,5,155m2
appartment,70088,3,161m2
appartment,65043,2,228m2
house,13230,5,164m2
appartment,823501,2,144m2
house,245540,2,183m2
appartment,513904,5,140m2
appartment,11796,3,171m2
house,664315,3,173m2
house,126728,4,157m2
house,918159,3,213m2
house,709326,4,244m2
appartment,357188,3,198m2
appartment,636542,2,208m2
appartment,939976,4,230m2
house,966957,2,210m2
appartment,626588,4,208m2
appartment,594781,2,210m2
appartment,18199,4,213m2
house,538382,4,161m2
house,65516,2,168m2
appartment,651177,4,138m2
appartment,814864,4,190m2
house,897374,3,138m2
house,444850,4,226m2
appartment,421266,2,141m2
appartment,824986,2,169m2
house,341192,3,207m2
appartment,572134,4,154m2
appartment,704020,4,246m2
appartment,629109,3,230m2
appartment,924078,4,170m2
house,236359,3,170m2
appartment,144803,3,241m2
appartment,681593,2,241m2
appartment,514165,2,240m2
appartment,300794,5,190m2
appartment,904383,5,136m2
appartment,838918,5,250m2
appartment,570316,2,212m2
house,987146,5,139m2
house,614957,4,179m2
appartment,901045,3,207m2
house,249867,2,224m2
house,253416,4,142m2
appartment,676804,2,190m2
house,777004,4,140m2
appartment,284697,2,167m2
appartment,669302,3,224m2
appartment,455536,5,238m2
appartment,852655,5,191m2
house,203670,3,204m2
house,151016,2,201m2
appartment,769049,5,193m2
appartment,688633,5,194m2
appartment,511480,5,235m2
appartment,346377,4,213m2
appartment,146499,5,189m2
appartment,565837,4,216m2
appartment,600743,5,224m2
appartment,363578,5,165m2
appartment,18241,5,197m2
house,280326,2,234m2
appartment,289904,2,216m2
appartment,550146,3,248m2
appartment,989869,3,192m2
appartment,859978,2,227m2
appartment,6419,3,146m2
appartment,940544,2,199m2
appartment,724038,4,208m2
appartment,562419,3,247m2
house,800757,2,202m2
appartment,674917,5,191m2
appartment,756627,4,198m2
appartment,539326,3,168m2
appartment,823301,3,171m2
appartment,739286,5,167m2
appartment,590127,3,229m2
appartment,147015,2,201m2
appartment,706779,3,213m2
appartment,434822,2,133m2
appartment,993745,5,167m2
house,382989,3,158m2
appartment,223618,5,184m2
appartment,498653,4,161m2
appartment,403805,3,216m2
appartment,573365,4,221m2
appartment,161311,3,191m2
house,925573,4,189m2
appartment,502278,4,240m2
appartment,37866,4,233m2
appartment,494436,4,133m2
appartment,556614,4,159m2
appartment,854269,5,224m2
appartment,448671,5,137m2
house,111165,5,188m2
appartment,62489,2,220m2
appartment,161553,4,131m2
house,485954,4,136m2
house,782449,3,163m2
appartment,994413,2,145m2
appartment,30243,2,168m2
appartment,115084,2,166m2
house,731268,4,196m2
appartment,378808,4,205m2
appartment,567336,2,227m2
house,279966,3,149m2
house,221835,3,168m2
appartment,133499,5,179m2
house,383425,4,183m2
appartment,556335,3,204m2
house,713168,3,192m2
appartment,471835,3,195m2
house,76625,3,243m2
appartment,772559,4,160m2
appartment,157517,4,185m2
appartment,925147,5,140m2
house,493519,2,179m2
appartment,228043,2,161m2
appartment,606458,3,209m2
house,525385,5,194m2
house,250406,2,201m2
appartment,217804,5,131m2
appartment,151159,5,234m2
house,144325,2,190m2
appartment,886082,5,234m2
appartment,898475,2,130m2
appartment,589812,2,205m2
appartment,146590,5,152m2
appartment,743227,2,232m2
appartment,562061,2,139m2
house,825956,4,233m2
appartment,173849,4,145m2
appartment,165822,2,172m2
appartment,403890,3,156m2
appartment,17644,3,201m2
appartment,989691,2,140m2
house,75341,2,238m2
appartment,596154,3,179m2
house,219189,3,187m2
appartment,369317,5,240m2
appartment,287383,5,145m2
appartment,360420,3,239m2
appartment,10960,5,218m2
house,895587,3,168m2
house,46061,2,185m2
house,467212,4,227m2
appartment,411128,4,247m2
appartment,685837,4,248m2
house,315429,2,225m2
appartment,920336,2,224m2
appartment,221773,2,132m2
appartment,185633,5,208m2
appartment,787288,5,223m2
appartment,611703,3,228m2
appartment,202875,4,226m2
appartment,840557,2,208m2
house,106702,3,227m2
appartment,165574,2,168m2
house,900860,4,179m2
appartment,356628,4,243m2
house,58044,2,225m2
appartment,423856,2,142m2
appartment,462197,2,146m2
appartment,658520,4,186m2
appartment,392353,4,193m2
house,865721,5,212m2
appartment,554985,2,233m2
appartment,872388,4,226m2
appartment,458957,2,191m2
appartment,179445,5,240m2
appartment,783312,2,240m2
appartment,176041,5,171m2
appartment,626397,4,201m2
appartment,752105,4,211m2
appartment,526662,4,239m2
appartment,747403,3,178m2
appartment,772132,5,156m2
appartment,315475,5,146m2
house,403787,2,138m2
appartment,342639,2,243m2
appartment,688627,3,210m2
house,217127,5,148m2
appartment,109695,5,164m2
house,105852,5,248m2
house,121137,2,146m2
appartment,236258,2,236m2
appartment,557338,4,198m2
house,378505,4,240m2
appartment,523670,3,202m2
appartment,63438,4,167m2
appartment,741108,5,189m2
appartment,746510,2,181m2
appartment,347465,5,159m2
appartment,944716,4,228m2
appartment,531290,3,244m2
house,16537,2,230m2
appartment,44851,4,157m2
house,1352,3,223m2
house,224678,3,204m2
appartment,481701,3,229m2
appartment,195481,3,176m2
appartment,717233,5,240m2
appartment,988922,4,246m2
appartment,857923,3,172m2
appartment,610780,2,134m2
appartment,907478,5,166m2
appartment,690468,2,236m2
appartment,164906,5,198m2
house,740848,5,135m2
appartment,325161,5,199m2
appartment,116609,2,196m2
appartment,381256,3,226m2
appartment,130361,2,188m2
house,855297,2,239m2
appartment,720277,2,196m2
appartment,789807,2,155m2
appartment,264341,3,205m2
appartment,869975,5,213m2
house,352905,5,183m2
appartment,658445,5,147m2
appartment,200307,3,163m2
appartment,533647,2,216m2
house,469376,5,176m2
appartment,646452,2,245m2
appartment,120491,3,140m2
appartment,243418,3,227m2
house,753610,4,135m2
appartment,532483,3,147m2
appartment,619958,2,173m2
appartment,227887,5,196m2
appartment,111409,4,175m2
appartment,817632,2,210m2
appartment,947168,2,216m2
appartment,218346,2,186m2
appartment,315097,3,190m2
appartment,881292,2,247m2
house,934949,5,180m2
house,941757,5,174m2
house,333473,4,144m2
appartment,250951,4,144m2
appartment,750758,4,236m2
house,879193,2,194m2
appartment,32665,3,147m2
house,572532,5,223m2
appartment,208273,5,179m2
appartment,49018,4,203m2
house,886930,5,219m2
appartment,145457,2,177m2
appartment,642371,3,234m2
house,84559,4,193m2
appartment,487079,3,218m2
appartment,187563,3,217m2
appartment,31551,4,214m2
house,224613,5,229m2
house,763644,5,223m2
appartment,272170,2,232m2
appartment,344764,5,207m2
appartment,655847,5,213m2
appartment,636269,4,212m2
appartment,723406,2,191m2
appartment,664207,2,139m2
appartment,541434,2,194m2
appartment,137565,3,174m2
appartment,567399,3,209m2
appartment,674797,5,175m2
appartment,947953,4,179m2
house,963283,5,153m2
appartment,812029,3,249m2
house,774442,2,222m2
appartment,513992,2,190m2
appartment,920039,5,176m2
appartment,932137,2,142m2
appartment,98433,3,236m2
house,394847,3,177m2
house,402210,3,147m2
appartment,393121,5,233m2
house,499946,4,180m2
appartment,648719,2,206m2
appartment,232012,2,145m2
house,949787,5,159m2
appartment,334174,2,173m2
house,96734,2,187m2
appartment,358252,5,169m2
house,35730,2,166m2
appartment,498293,4,147m2
appartment,318761,5,235m2
house,921057,5,179m2
appartment,540967,3,201m2
house,56833,4,199m2
appartment,947884,2,164m2
appartment,65952,4,177m2
house,935457,2,225m2
appartment,958246,3,228m2
appartment,180018,4,217m2
appartment,322346,4,202m2
house,773874,5,241m2
appartment,14459,3,217m2
appartment,739163,4,246m2
appartment,944184,3,182m2
house,397577,5,213m2
appartment,42857,4,132m2
appartment,994281,2,148m2
appartment,581026,4,215m2
appartment,818812,3,228m2
house,258318,5,159m2
house,980673,3,238m2
appartment,810544,2,154m2
appartment,556798,2,198m2
appartment,1711,3,180m2
house,550659,4,205m2
appartment,188805,2,246m2
appartment,955274,3,247m2
appartment,710854,3,189m2
house,967920,3,175m2
appartment,429129,2,234m2
appartment,625813,2,197m2
house,745675,3,244m2
appartment,719381,4,168m2
appartment,301905,3,169m2
appartment,397749,2,135m2
appartment,895121,2,134m2
appartment,564077,4,245m2
appartment,543118,2,231m2
appartment,96284,2,203m2
appartment,630995,5,165m2
appartment,918597,2,142m2
house,859517,2,244m2
appartment,534738,2,179m2
appartment,756373,4,157m2
house,929270,2,143m2
appartment,285782,5,172m2
appartment,428390,3,145m2
appartment,703646,4,134m2
appartment,777767,5,131m2
appartment,460465,4,233m2
appartment,396305,5,167m2
appartment,382112,5,158m2
house,891243,4,210m2
appartment,593496,3,218m2
house,442871,2,164m2
house,301038,2,245m2
appartment,683582,4,215m2
house,318456,4,178m2
house,595016,4,225m2
appartment,515092,5,147m2
house,205659,2,155m2
appartment,629868,5,189m2
appartment,855944,5,138m2
appartment,796315,5,161m2
house,470401,2,197m2
appartment,680928,5,150m2
appartment,355324,2,242m2
house,435986,5,222m2
house,968399,5,135m2
appartment,940054,4,246m2
house,826529,3,191m2
appartment,129806,2,183m2
appartment,348190,5,190m2
appartment,10567,4,202m2
house,36247,4,209m2
appartment,425342,4,159m2
appartment,315541,5,162m2
house,602428,4,130m2
appartment,182247,5,207m2
appartment,145403,4,189m2
appartment,871879,5,235m2
appartment,947741,3,143m2
appartment,868236,2,155m2
appartment,315442,5,239m2
appartment,249993,2,248m2
appartment,105414,4,180m2
house,673296,3,219m2
appartment,752194,4,156m2
house,423607,5,247m2
house,616782,5,211m2
appartment,349284,4,159m2
house,736077,2,243m2
house,75843,5,224m2
appartment,489653,5,157m2
house,578821,2,205m2
appartment,363628,4,185m2
house,582246,2,186m2
appartment,526619,3,136m2
appartment,70217,3,233m2
house,976301,2,189m2
appartment,261876,3,180m2
appartment,27214,3,238m2
appartment,571752,4,158m2
house,546041,4,169m2
appartment,618671,2,219m2
appartment,791141,2,165m2
appartment,683485,3,236m2
appartment,780976,2,131m2
appartment,306968,2,135m2
appartment,915983,2,143m2
appartment,577200,4,237m2
house,802593,5,148m2
appartment,100160,4,220m2
appartment,267421,2,132m2
appartment,399737,2,212m2
house,258393,5,197m2
house,572035,3,198m2
appartment,720185,2,248m2
appartment,548881,5,187m2
appartment,476837,4,246m2
appartment,106828,2,168m2
house,607117,2,144m2
appartment,391006,5,166m2
appartment,448531,5,133m2
appartment,505251,5,137m2
house,947280,5,184m2
appartment,44658,2,159m2
house,140044,2,220m2
house,757417,2,199m2
house,831524,3,235m2
house,64236,3,214m2
house,404283,4,201m2
appartment,739222,3,155m2
appartment,120911,5,185m2
house,739191,4,196m2
appartment,304912,5,237m2
appartment,911094,2,159m2
appartment,105934,3,150m2
house,396135,4,231m2
house,333284,2,209m2
house,222936,3,201m2
house,337543,4,194m2
appartment,64239,4,230m2
appartment,990068,3,244m2
appartment,716642,3,169m2
house,370766,4,202m2
appartment,382076,3,169m2
house,647248,4,140m2
appartment,710318,2,243m2
house,442984,5,138m2
appartment,370785,5,171m2
appartment,916607,4,248m2
house,549059,5,185m2
appartment,195967,4,132m2
house,116958,5,131m2
appartment,316566,3,163m2
appartment,419137,5,234m2
appartment,744878,3,229m2
appartment,330135,4,189m2
house,993167,2,233m2
appartment,455615,2,224m2
appartment,665342,2,225m2
appartment,442888,5,161m2
appartment,598123,3,175m2
appartment,137705,5,204m2
appartment,82455,3,185m2
house,696849,4,245m2
appartment,450705,3,209m2
house,160222,5,156m2
appartment,134269,5,216m2
house,198456,3,222m2
appartment,339310,4,146m2
house,672716,5,164m2
appartment,417607,2,138m2
appartment,836410,4,210m2
appartment,402434,2,154m2
appartment,495203,3,248m2
appartment,704963,5,177m2
house,833596,4,139m2
appartment,69473,4,238m2
appartment,433350,4,229m2
house,294164,4,177m2
appartment,95000,2,136m2
house,737133,4,215m2
house,258236,3,143m2
appartment,74445,3,232m2
appartment,211709,5,203m2
house,664947,3,175m2
appartment,130909,5,206m2
house,444800,2,162m2
house,192308,3,163m2
appartment,26087,5,135m2
house,170245,5,240m2
appartment,576162,3,198m2
house,877964,4,178m2
appartment,447376,3,193m2
house,139963,3,152m2
appartment,700471,4,223m2
house,564739,3,166m2
house,130933,4,149m2
appartment,309597,4,218m2
appartment,21053,3,154m2
house,199921,5,212m2
appartment,540930,3,243m2
house,436980,2,152m2
appartment,934237,4,169m2
house,92152,4,202m2
appartment,310092,3,247m2
appartment,422524,4,137m2
house,293070,3,221m2
appartment,353787,3,231m2
house,955684,4,130m2
appartment,668371,2,218m2
appartment,641990,2,224m2
house,507619,2,153m2
appartment,276624,4,141m2
house,590968,5,226m2
house,915184,2,140m2
appartment,810492,3,188m2
appartment,765726,4,200m2
house,35382,2,250m2
appartment,266662,2,242m2
appartment,405150,4,166m2
house,509580,4,223m2
appartment,320558,5,130m2
appartment,567680,2,160m2
house,565793,3,170m2
house,999296,3,205m2
house,966233,2,148m2
house,166598,4,245m2
appartment,134573,3,247m2
appartment,126660,4,191m2
appartment,151450,4,140m2
appartment,567285,3,161m2
appartment,89105,4,246m2
house,804867,4,149m2
house,702977,4,233m2
appartment,567912,3,246m2
appartment,807467,2,250m2
appartment,63214,5,241m2
house,64177,3,240m2
appartment,699541,4,136m2
appartment,349570,5,197m2
appartment,392493,4,194m2
appartment,683452,5,213m2
appartment,530488,2,177m2
appartment,202695,2,148m2
appartment,699539,4,200m2
appartment,170128,4,239m2
appartment,224473,5,149m2
appartment,836747,3,204m2
appartment,44909,2,154m2
appartment,677621,2,139m2
appartment,420007,3,245m2
house,347459,5,220m2
appartment,435626,4,237m2
appartment,1575,5,229m2
house,197589,4,226m2
appartment,40794,3,237m2
appartment,580426,2,233m2
house,273129,4,202m2
appartment,73520,2,241m2
appartment,473151,4,176m2
appartment,876810,3,203m2
appartment,6144,2,187m2
house,434934,3,214m2
appartment,76680,5,247m2
house,380674,5,138m2
appartment,444176,5,220m2
appartment,192942,5,130m2
house,526738,5,195m2
appartment,164549,2,157m2
appartment,759038,5,158m2
house,183823,2,153m2
house,322609,4,221m2
appartment,45835,2,136m2
appartment,64862,5,213m2
appartment,713632,3,221m2
appartment,964831,5,234m2
house,264325,2,220m2
appartment,682620,5,167m2
appartment,220285,4,249m2
appartment,640721,4,214m2
appartment,944023,4,135m2
appartment,745870,3,207m2
appartment,953026,4,237m2
appartment,520032,2,162m2
house,498702,2,148m2
appartment,918391,4,230m2
appartment,458708,3,134m2
appartment,363883,3,141m2
appartment,980457,4,184m2
appartment,221844,5,206m2
house,208395,3,186m2
appartment,666679,2,223m2
appartment,15148,4,187m2
appartment,466231,4,222m2
appartment,614971,5,179m2
house,221853,2,215m2
appartment,184619,4,155m2
house,305910,5,150m2
appartment,629477,4,218m2
appartment,183390,3,149m2
house,503861,5,237m2
appartment,841107,5,237m2
appartment,534688,2,190m2
appartment,651761,5,191m2
house,32495,3,153m2
appartment,873186,4,138m2
house,654940,5,151m2
appartment,549884,5,183m2
appartment,454691,2,154m2
appartment,268623,2,215m2
appartment,99467,2,220m2
appartment,752944,5,152m2
appartment,540268,4,181m2
appartment,380192,3,157m2
house,454009,5,193m2
appartment,960724,3,238m2
house,831805,5,203m2
house,60566,5,209m2
appartment,17018,4,248m2
house,601103,5,193m2
appartment,42070,2,233m2
appartment,221256,5,213m2
appartment,573079,4,152m2
appartment,657084,2,236m2
appartment,593730,5,165m2
appartment,158342,4,143m2
appartment,190505,2,190m2
appartment,107850,5,156m2
appartment,81478,3,168m2
house,427798,4,155m2
house,482846,3,163m2
appartment,793538,3,180m2
house,955527,4,242m2
appartment,33632,4,236m2
house,992754,3,211m2
appartment,694540,3,220m2
appartment,138913,2,241m2
appartment,381792,5,196m2
appartment,831311,2,166m2
house,142748,3,170m2
house,945959,5,215m2
appartment,128921,3,135m2
house,442975,3,172m2
appartment,766540,3,162m2
appartment,438442,5,178m2
appartment,905647,3,147m2
appartment,466566,5,168m2
house,322145,5,209m2
house,302989,2,219m2
house,246618,3,210m2
appartment,263916,4,146m2
house,845510,2,166m2
appartment,408324,2,203m2
house,523987,2,152m2
house,243273,4,173m2
appartment,526448,5,225m2
appartment,616176,3,152m2
house,101108,4,178m2
house,230035,3,212m2
appartment,342540,3,163m2
appartment,415662,2,184m2
house,457621,5,174m2
appartment,225598,5,171m2
house,382934,2,222m2
house,595607,2,160m2
appartment,892266,3,178m2
appartment,773794,5,216m2
appartment,106484,2,209m2
house,348765,4,229m2
house,142947,3,178m2
house,844458,2,215m2
house,436564,5,159m2
house,164206,4,171m2
appartment,358562,5,244m2
appartment,889426,3,173m2
house,853976,3,177m2
house,245671,5,221m2
appartment,499915,2,147m2
appartment,113671,2,186m2
appartment,187070,2,219m2
appartment,775760,3,131m2
appartment,73428,3,143m2
appartment,56697,2,234m2
appartment,464327,5,183m2
appartment,92179,3,241m2
appartment,248886,2,166m2
appartment,308230,5,130m2
house,480041,2,249m2
appartment,484809,5,164m2
appartment,441671,2,141m2
appartment,730051,2,175m2
appartment,560758,3,197m2
house,235634,5,211m2
appartment,930966,5,243m2
appartment,363907,5,194m2
appartment,548278,4,227m2
appartment,902877,4,139m2
appartment,844389,2,231m2
house,963869,2,178m2
appartment,799742,5,172m2
appartment,229632,3,170m2
appartment,248427,5,243m2
house,525220,4,227m2
house,683790,3,152m2
appartment,193237,3,157m2
house,505590,2,215m2
appartment,318351,5,193m2
appartment,991533,3,239m2
appartment,626786,5,136m2
appartment,187653,5,198m2
appartment,750709,3,152m2
appartment,955204,3,147m2
appartment,81805,3,159m2
appartment,697465,4,248m2
house,438186,2,147m2
appartment,723223,4,222m2
appartment,278600,3,180m2
appartment,979732,2,249m2
appartment,577975,5,137m2
appartment,175076,2,162m2
appartment,520826,2,146m2
appartment,779583,2,224m2
appartment,886725,3,202m2
appartment,528667,3,150m2
house,562390,2,151m2
appartment,426697,5,167m2
appartment,972848,5,211m2
appartment,483884,5,196m2
appartment,386230,4,207m2
house,992976,4,150m2
house,884820,4,198m2
appartment,632964,5,171m2
house,132291,3,241m2
appartment,535597,5,177m2
appartment,283471,3,209m2
appartment,695832,3,169m2
house,848846,4,186m2
appartment,622917,2,172m2
house,967397,5,172m2
appartment,44858,4,244m2
appartment,80626,4,201m2
appartment,660968,2,138m2
appartment,779523,2,181m2
appartment,310920,4,146m2
appartment,452686,4,200m2
appartment,610526,4,248m2
appartment,761961,2,217m2
appartment,340366,4,210m2
appartment,8877,3,190m2
appartment,380757,3,228m2
appartment,736273,3,240m2
appartment,659188,2,211m2
appartment,260788,3,249m2
appartment,205990,5,188m2
appartment,415116,4,207m2
appartment,307080,3,156m2
house,560217,2,157m2
appartment,222604,5,180m2
appartment,12707,3,168m2
appartment,713039,3,188m2
appartment,857606,2,203m2
appartment,654309,3,187m2
appartment,269003,2,244m2
house,456594,5,157m2
appartment,319236,3,163m2
appartment,133036,5,217m2
house,739813,5,184m2
appartment,661511,4,234m2
appartment,88396,5,222m2
house,200073,3,159m2
house,919200,5,216m2
appartment,531653,5,231m2
appartment,613323,2,216m2
appartment,583206,2,244m2
appartment,82798,2,236m2
house,909486,2,166m2
appartment,388841,3,219m2
appartment,712196,5,186m2
appartment,892757,5,159m2
house,475949,4,134m2
appartment,192605,2,191m2
appartment,653272,5,154m2
appartment,218406,3,243m2
appartment,498521,2,212m2
appartment,946,2,202m2
appartment,536003,2,140m2
appartment,513149,5,179m2
appartment,145795,5,210m2
appartment,565943,4,158m2
house,137607,4,131m2
appartment,214832,5,178m2
house,246653,2,223m2
